scenario,cost_att1,cost_att3
0,187652.88623299997,179240.815837
1,164892.807517,114491.69152886022
2,114412.82116383733,114412.82116383733
3,111926.22342706543,111926.22342706543
4,114393.12084111516,114393.12084111516
5,107622.93353361193,107622.93353361193
6,111420.15619036314,108878.49716957321
7,108789.57530608172,105492.93152700001
8,108789.57530608172,108789.57530608172
9,108733.52676555405,106145.10428463726
10,112199.2629964195,112026.79251278452
11,112026.79251278452,112026.79251278452
12,114001.72043489343,114001.72043489343
13,106820.61999036379,106820.61999036379
14,109277.55020807074,109277.55020807074
15,106820.61999036379,106820.61999036379
16,108223.09200234489,108223.09200234489
17,109492.59265061095,109492.59265061095
18,108603.7150449968,108603.7150449968
19,187965.97251,187965.97251
20,187721.716316,111271.47179458209
21,187445.97251,108586.51059904369
22,105982.88543777453,99016.91812067539
23,108828.81877983593,108828.81877983593
24,187965.97251,187965.97251
25,187965.97251,187965.97251
26,104835.97105689807,104835.97105689807
27,107704.07705675428,107459.04940164118
28,108688.54573636553,108460.2086465505
29,176311.04019899998,171670.306963
30,105999.79073030155,103200.40525591924
31,105948.44993580722,105948.44993580722
32,99179.45014718,99179.45014718
33,105618.20700199614,105618.20700199614
34,105618.20700199614,105618.20700199614
35,105402.22811857873,105402.22811857873
36,105463.68619985605,105463.68619985605
37,105470.25452700177,105470.25452700177
38,108938.86107129378,108938.86107129378
39,107532.33812922596,107532.33812922596
40,110189.53246194126,110006.47362809509
41,109985.25146538319,109985.25146538319
42,187915.17658,185202.166707
43,109785.8238179024,102128.05425225975
44,110100.38861088165,110100.38861088165
45,109862.64051168099,109862.64051168099
46,109776.10877473946,106072.50420548135
47,109808.9630289698,109808.9630289698
48,187965.97251,152329.077107
49,107918.32507498172,107918.32507498172
50,187965.97251,187722.44442936478
51,106757.49044202898,106757.49044202898
52,178237.51463800002,178237.51463800002
53,116162.33340002828,116162.33340002828
54,111659.16161499354,111659.16161499354
55,114447.47696387248,114447.47696387248
56,116146.3137202756,108104.0533165619
57,111556.07282298655,111556.07282298655
58,111641.90606604023,111641.90606604023
59,114209.7588583054,114201.5031635295
60,108142.97833129429,107716.00543163039
61,187915.17658,160969.27167100002
62,113501.64841059156,113501.64841059156
63,114636.33963230687,114499.39846206307
64,110728.45315429733,110728.45315429733
65,110634.36770569728,110634.36770569728
66,110637.25607686839,110637.25607686839
67,113194.47183374311,113194.47183374311
68,110659.4453198425,110659.4453198425
69,108867.42722614648,108867.42722614648
70,108864.98908467792,96857.17824049998
71,108867.42722614648,108867.42722614648
72,108843.4680070798,108843.4680070798
73,109925.56106476324,109925.56106476324
74,112604.57756721618,110037.2627910498
75,114622.81963787373,111066.6436092981
