scenario,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33
0,19.0,19.0,97.0,0.0,10.0,100.0,380.0,390.0,45.0,150.0,18.0,75.0,75.0,19.0,75.0,75.0,97.0,97.0,195.0,195.0,11.0,11.0,11.0,11.0,153.0,49.0,49.0,49.0,49.0,49.0,153.0,348.0,194.0
1,19.53510618142008,18.140424725680326,65.1329636065061,0.0,7.53701934163278,108.18519246900219,260.5318544260244,260.5318544260244,31.404247256803252,108.18519246900219,18.140424725680326,47.734455830340934,47.734455830340934,18.140424725680326,47.734455830340934,47.734455830340934,65.1329636065061,65.1329636065061,137.4935912217704,137.4935912217704,7.53701934163278,7.53701934163278,7.53701934163278,7.53701934163278,108.18519246900219,31.404247256803252,31.404247256803252,31.404247256803252,31.404247256803252,31.404247256803252,108.18519246900219,252.37229809821707,137.4935912217704
2,18.08706300041724,18.08706300041724,64.13243125782323,0.0,7.408951201001372,106.84181103550398,256.5297250312929,256.5297250312929,30.870630004172387,106.84181103550398,18.08706300041724,46.92335760634202,46.92335760634202,18.08706300041724,46.92335760634202,46.92335760634202,64.13243125782323,64.13243125782323,135.78601601335163,135.78601601335163,7.408951201001372,7.408951201001372,7.408951201001372,7.408951201001372,106.84181103550398,30.870630004172387,30.870630004172387,30.870630004172387,30.870630004172387,30.870630004172387,106.84181103550398,249.57080752190504,168.7841792561543
3,18.0387130125082,18.0387130125082,63.22586898452878,0.0,7.292911230019683,105.62460008989397,252.90347593811512,252.90347593811512,30.387130125082017,105.62460008989397,18.0387130125082,46.18843779012467,46.18843779012467,18.0387130125082,46.18843779012467,46.18843779012467,63.22586898452878,63.22586898452878,134.23881640026246,134.23881640026246,7.292911230019683,7.292911230019683,7.292911230019683,7.292911230019683,105.62460008989397,30.387130125082017,30.387130125082017,30.387130125082017,30.387130125082017,50.0,147.64517379690577,247.0324331566806,134.23881640026246
4,18.14277961205557,18.14277961205557,65.17711772604196,0.0,7.542671068933371,108.24447673349903,260.7084709041678,260.7084709041678,31.42779612055572,108.24447673349903,18.14277961205557,47.77025010324469,47.77025010324469,18.14277961205557,47.77025010324469,47.77025010324469,65.17711772604196,65.17711772604196,137.5689475857783,137.5689475857783,7.542671068933371,7.542671068933371,7.542671068933371,7.542671068933371,108.24447673349903,31.42779612055572,31.42779612055572,31.42779612055572,31.42779612055572,31.42779612055572,108.24447673349903,252.49592963291752,137.5689475857783
5,17.778449988823862,17.778449988823862,58.345937290447395,0.0,6.668279973177267,99.0724784686407,233.38374916178958,233.38374916178958,27.78449988823861,99.0724784686407,17.778449988823862,42.232439830122686,42.232439830122686,17.778449988823862,42.232439830122686,42.232439830122686,58.345937290447395,58.345937290447395,125.91039964236356,125.91039964236356,12.0,12.0,12.0,12.0,99.0724784686407,27.78449988823861,27.78449988823861,27.78449988823861,27.78449988823861,50.0,146.66918745808948,233.3686244132527,197.0
6,17.096935475118464,17.096935475118464,66.13091387638205,0.0,6.193870950236924,111.45403212677694,235.49301025671286,235.49301025671286,25.807795625987186,111.45403212677694,17.096935475118464,41.163225701421545,41.163225701421545,17.096935475118464,41.163225701421545,41.163225701421545,66.13091387638205,66.13091387638205,141.84177402725078,141.84177402725078,6.193870950236924,6.193870950236924,6.193870950236924,6.193870950236924,111.45403212677694,25.807795625987186,25.807795625987186,25.807795625987186,25.807795625987186,25.807795625987186,111.45403212677694,253.23118250394873,180.5493010256713
7,17.0,18.0,65.0,0.0,5.0,60.0,210.0,210.0,35.0,110.0,19.0,45.0,45.0,19.0,45.0,45.0,80.0,80.0,140.0,140.0,7.0,7.0,7.0,7.0,135.0,30.0,30.0,30.0,30.0,50.0,155.0,245.0,195.0
8,17.81877879345165,17.81877879345165,59.102102377218436,0.0,6.76506910428396,100.08775612514529,236.40840950887375,236.40840950887375,28.187787934516503,100.08775612514529,17.81877879345165,42.84543766046508,42.84543766046508,17.81877879345165,42.84543766046508,42.84543766046508,59.102102377218436,59.102102377218436,127.2009213904528,127.2009213904528,6.76506910428396,6.76506910428396,6.76506910428396,6.76506910428396,100.08775612514529,28.187787934516503,28.187787934516503,28.187787934516503,28.187787934516503,50.0,146.82042047544368,235.48588665621162,197.0
9,17.720386749895393,17.720386749895393,54.407734997907866,0.0,5.617082899707102,95.73005549728022,217.63093999163146,217.63093999163146,27.203867498953933,95.73005549728022,17.720386749895393,52.29202219891209,52.29202219891209,17.720386749895393,52.29202219891209,52.29202219891209,54.407734997907866,54.407734997907866,135.90636489719654,135.90636489719654,5.617082899707102,5.617082899707102,5.617082899707102,5.617082899707102,95.73005549728022,31.763093999163146,31.763093999163146,31.763093999163146,31.763093999163146,45.44077349979079,150.4407734997908,249.6970169953973,186.0578563994979
