scenario,total_cost,success
0,39675.658647895936,1
1,40301.91481628796,1
2,40020.0687713299,1
3,40083.454924214275,1
4,40085.38472908071,1
5,40109.667025820236,1
6,40063.76387680181,1
7,40081.99910846482,1
8,39975.38543028072,1
9,39675.546370177515,1
10,39992.87265595789,1
11,40004.8658334616,1
12,40189.60598551366,1
13,40068.610465774465,1
14,40059.130131299586,1
15,39951.493456618664,1
16,39980.514911276136,1
17,39936.68785148178,1
18,40154.03892085918,1
19,40286.94574904694,1
20,39782.27584795031,1
21,39748.72303297127,1
22,39718.79106330365,1
23,39894.102471757615,1
24,39764.01053314309,1
25,39809.729394649126,1
26,40045.20082752228,1
27,39797.99115549459,1
28,39839.3987962717,1
29,40101.11306190219,1
30,39719.028749763514,1
31,39903.77665602412,1
32,39952.3455372717,1
33,40359.2320815975,1
34,40129.010166287786,1
35,39805.10709762364,1
36,40085.74067777716,1
37,39722.342512949086,1
38,39703.49810262057,1
39,39981.62499563395,1
40,39921.4016056311,1
41,40080.30519221074,1
42,39892.1133862863,1
43,39820.17817304043,1
44,39796.43946478075,1
45,39879.409286806695,1
46,39903.96385895775,1
47,39775.41194227988,1
48,40067.84152150975,1
49,40100.469738261396,1
50,39986.57991716879,1
51,40248.74104070131,1
52,40264.346224388806,1
53,40044.951001881076,1
54,40223.40500525164,1
55,39811.875265722134,1
56,40227.57770833851,1
57,39675.66434746969,1
58,40158.16501146641,1
59,40240.45347464614,1
60,39675.61500777733,1
61,40226.56438279942,1
62,40199.78741016035,1
63,40156.54414164889,1
64,39998.05918889431,1
65,39866.16367653494,1
66,40381.26360042243,1
67,40087.325979499445,1
68,40122.82487887352,1
69,39675.59101638341,1
70,40078.93462425598,1
71,40118.91164508153,1
72,39675.61377768216,1
73,40115.60685884081,1
74,39958.77507492014,1
75,40025.84550662319,1
76,40156.140972933936,1
77,40048.48517923762,1
78,39976.22582966587,1
79,40123.396086242,1
80,40167.9109919786,1
81,40013.59050323303,1
82,39675.59057388956,1
83,40057.648541605646,1
84,40087.09317432223,1
85,39870.59739997931,1
86,39911.7398101953,1
87,39862.307168411215,1
88,39776.96556501483,1
89,40202.2587430248,1
90,40502.43224825261,1
91,40275.28466976988,1
92,40255.48540231296,1
93,40650.173034756415,1
94,40423.70996468082,1
95,39675.56915464284,1
96,40189.574421793914,1
97,40384.655370802655,1
98,40306.42610952016,1
99,39946.321331262094,1
100,40050.14758633548,1
101,40165.66533337455,1
102,40417.29484339364,1
103,40380.861946402234,1
104,40126.267764541124,1
105,40239.79111374529,1
106,40458.81953946622,1
107,40411.82936088213,1
108,40331.53125888995,1
109,40200.7131626049,1
110,39675.53678697004,1
111,40081.45166552525,1
112,40257.3401847007,1
113,40060.84377598391,1
114,39675.62024142952,1
115,40041.98016494273,1
116,40098.49826011787,1
117,40540.7194741821,1
118,39675.65419941483,1
119,40004.61272370775,1
120,39819.55143288673,1
121,39675.59552167563,1
122,40031.63552314415,1
123,40136.13694782539,1
124,39967.05802225802,1
125,39917.06401212901,1
126,40285.86865756811,1
127,39822.46847750991,1
128,40132.76889531464,1
129,40112.71468816208,1
130,39865.8845030272,1
131,39723.24267016146,1
132,39699.06992012315,1
133,39713.24308582561,1
134,39837.07451022289,1
135,39917.677083703726,1
136,39675.65679728353,1
137,39811.28820763255,1
138,39714.49122411148,1
139,39831.43127048123,1
140,39869.55208249338,1
141,39675.52097658661,1
142,39690.544873788094,1
143,39914.671097556326,1
144,40002.26645268071,1
145,39831.39908158925,1
146,39675.52553360876,1
147,39675.63473404037,1
148,39675.66068960933,1
149,39675.667937476916,1
150,39675.65938991252,1
151,39818.91093627299,1
152,39754.35509428286,1
153,39729.38180368618,1
154,39753.94025633878,1
155,39811.89163234473,1
156,40021.127982464415,1
157,39692.74719170084,1
158,39675.58836821388,1
159,40030.77883354849,1
160,40003.06355402393,1
161,39675.624950142796,1
162,40081.63935781022,1
163,40458.33371937001,1
164,39675.613845627486,1
165,40113.47513052525,1
166,40261.94848378452,1
167,40204.80138058854,1
168,39675.5949214301,1
169,40347.876368070705,1
170,40525.2279495342,1
171,40050.54555667585,1
172,39675.64018886004,1
173,40700.62577417958,1
174,40467.64459828779,1
175,40168.86865429133,1
176,40371.214296445476,1
177,39921.96794333277,1
178,40010.622710162286,1
179,40403.10708713486,1
180,40064.01385406182,1
181,40288.13937119696,1
182,39675.66275433096,1
183,40468.90763699002,1
184,39819.592824309504,1
185,40347.58758273867,1
186,39711.79303871339,1
187,40719.99715034084,1
188,40336.03271632117,1
189,40244.25361924433,1
190,39675.63246242977,1
191,40107.3193616848,1
192,40543.333331375885,1
193,40433.58235883352,1
194,40344.13173238728,1
195,39675.603193858755,1
196,40537.82781784076,1
197,40179.88412056748,1
198,40142.23761390124,1
199,39936.38391633065,1
200,40517.44203806148,1
201,39675.61397288103,1
202,39991.283427672846,1
203,40594.42291792881,1
204,40274.82604484718,1
205,40137.886224732625,1
206,40472.9623844717,1
207,40637.70246602592,1
208,40545.80884412992,1
209,40582.85850722434,1
210,40701.014133481134,1
211,40024.0943536791,1
212,40582.85850722434,1
213,40513.16185139598,1
214,40202.15480568109,1
215,39675.605608660815,1
216,40661.08355822391,1
217,39675.58506173633,1
218,40632.485273091625,1
219,40254.876033121014,1
220,40502.07381032202,1
221,40597.17727933651,1
222,40194.198287855594,1
223,40341.57860762387,1
224,40432.99139263767,1
225,39675.58785390587,1
226,40514.55284696602,1
227,40239.90032710731,1
228,40353.77270063159,1
229,40510.63023829754,1
230,40228.857795333155,1
231,40342.473103203185,1
232,39675.53869036147,1
233,40138.75316917137,1
234,40396.058042275465,1
235,40306.67544414255,1
236,40043.28978666322,1
237,40066.804990761215,1
238,39981.16226100245,1
239,39736.570638403675,1
240,39675.679016804694,1
241,39708.48716996168,1
242,39707.39574304001,1
243,39932.21418558155,1
244,40435.64050161189,1
245,39707.39574304001,1
246,39815.15281543521,1
247,39675.665938785154,1
248,39678.51482418522,1
249,39675.66590252993,1
250,39713.868459752564,1
251,39930.65343975871,1
252,39690.024261156876,1
253,39973.408336329165,1
254,39889.696417304374,1
255,39675.5855366664,1
256,39810.81455292518,1
257,39779.98778589668,1
258,39675.67600709937,1
259,39714.45191701057,1
260,39780.93182797618,1
261,39881.74164985606,1
262,39688.641335882305,1
263,39796.67493335766,1
264,39976.88091716459,1
265,39981.9609706948,1
266,39898.22411648536,1
267,39675.60349048301,1
268,39675.63738215526,1
269,39981.65268277903,1
270,40004.018421725385,1
271,39966.8565039417,1
272,40586.10373425134,1
273,40341.88799741387,1
274,40341.88799741387,1
275,40709.24897512283,1
276,39675.55264416978,1
277,40434.4422090236,1
278,40434.4422090236,1
279,40667.25562331758,1
280,40470.98066614892,1
281,40555.24810673581,1
282,40477.13211245445,1
283,40930.303715230424,1
284,40318.46299302522,1
285,40578.068633791765,1
286,40159.36353483658,1
287,40675.830442867045,1
288,40004.160540981655,1
289,40085.36909245069,1
290,40289.034046413166,1
291,40828.17861045477,1
292,40733.629486263504,1
293,40424.59810927362,1
294,40669.39417764274,1
295,40151.62798127389,1
296,40637.5754455945,1
297,40488.30676985477,1
298,40423.55956504469,1
299,40691.67603280611,1
300,40147.5711491207,1
301,40391.26463421727,1
302,40765.73543486526,1
303,40910.41701489685,1
304,39951.42947816933,1
305,40813.20495068068,1
306,40188.55861270558,1
307,40085.72557835643,1
308,40492.21964683865,1
309,40168.345502705866,1
310,39675.56576192531,1
311,40121.625402440026,1
312,40710.7195871815,1
313,40673.63394983639,1
314,40145.330523601864,1
315,40575.04731205413,1
316,40431.7210598545,1
317,40074.777485238155,1
318,40677.06872371888,1
319,40159.73051451424,1
320,39883.47531784587,1
321,39675.59739818528,1
322,40380.51082421307,1
323,40543.46239261693,1
324,40411.11175115449,1
325,40263.593605762915,1
326,40758.749588442246,1
327,40444.62118028162,1
328,40447.948445844,1
329,40403.67577034107,1
330,40224.496614773474,1
331,40021.92624076276,1
332,40353.356894744524,1
333,40678.05800653031,1
334,39934.17624031046,1
335,39675.60559189197,1
336,40436.72946740098,1
337,40117.55372524683,1
338,40543.76710350772,1
339,40470.781456241806,1
340,40054.69230143782,1
341,40560.54487074125,1
342,40676.00035859211,1
343,39675.569549852014,1
344,40541.443460826915,1
345,40118.860859538974,1
346,40506.32397096142,1
347,40226.32385193165,1
348,40385.36136680527,1
349,40560.45401906803,1
350,40224.49937475223,1
351,40575.161935282435,1
352,40165.58913589721,1
353,40573.082478005046,1
354,40552.37066188221,1
355,40688.10098921584,1
356,40148.00346570791,1
357,40329.14895119169,1
358,40416.15542216929,1
359,39938.56166710255,1
360,40280.797031010545,1
361,39675.56864664104,1
362,40159.32546809781,1
363,40464.79435494798,1
364,40304.39249188196,1
365,40502.98246093692,1
366,40740.69399918181,1
367,40297.3156091394,1
368,40502.98246093691,1
369,40159.81954117417,1
370,40491.46702153302,1
371,40469.955858947564,1
372,40472.039287403735,1
373,40419.41745002526,1
374,40551.32810201651,1
375,39675.569383646354,1
376,40302.0792619127,1
377,40358.645919763934,1
378,40529.39028696949,1
379,40320.01808067798,1
380,40113.778227991825,1
381,40538.01171666889,1
382,40143.4921530782,1
383,39885.681718965236,1
384,39675.617838738304,1
385,40708.786467623286,1
386,40351.9033426938,1
387,40540.61050336359,1
388,39675.58765321458,1
389,40562.0820981986,1
390,40409.27267511858,1
391,40215.00217131465,1
392,40296.2109893134,1
393,39675.601714017954,1
394,40655.99376551928,1
395,40788.95747810058,1
396,40494.74967500134,1
397,40027.10179154941,1
398,40639.500849027,1
399,40357.25070241637,1
400,40586.344137466825,1
401,40378.31858792476,1
402,40539.48721760235,1
403,40091.91039677751,1
404,40636.41528996974,1
405,40121.864763546655,1
406,39971.21561264709,1
407,40009.86865050028,1
408,40276.435507111644,1
409,40590.63514893976,1
410,40390.05134603966,1
411,40547.65023044952,1
412,40129.07781731148,1
413,40368.763896297874,1
414,40368.763896297874,1
415,40532.993036175256,1
416,40633.4191221457,1
417,40262.47325541445,1
418,40394.39121694184,1
419,40633.4191221457,1
420,39889.682803069045,1
421,40525.62022871327,1
422,39929.42517224877,1
423,39675.59530528319,1
424,40648.62027537755,1
425,40877.13944577157,1
426,39675.54961327359,1
427,39675.52886425781,1
428,40078.359198572485,1
429,40618.28332732508,1
430,40577.637816252085,1
431,40543.672737937326,1
432,40319.413613722245,1
433,40856.3869340015,1
434,40703.402580307054,1
435,39699.04389321751,1
436,40302.625026312286,1
437,40617.158386718125,1
438,39983.81770164761,1
439,40549.99066997353,1
440,40519.79038477385,1
441,40475.44138557667,1
442,40557.18567620446,1
443,40762.36559645753,1
444,40751.09514224778,1
445,39718.61835158104,1
446,40494.210162111565,1
447,40416.277258398695,1
448,40473.957208081985,1
449,40572.702494009514,1
450,39675.60284166319,1
451,39914.44715815049,1
452,40437.278475818675,1
453,40355.03423086054,1
454,40374.37505087199,1
455,40668.29566225878,1
456,40525.847830909144,1
457,40507.1799488233,1
458,39675.671519124044,1
459,40075.62611923716,1
460,40651.55449768606,1
461,40530.21506170231,1
462,40700.891274753194,1
463,40441.65002061617,1
464,40317.732202291416,1
465,40595.16530130656,1
466,40020.461877543974,1
467,40010.02268828629,1
468,40472.51348679648,1
469,40660.51756524053,1
470,40340.15926230893,1
471,40230.25089202827,1
472,39675.59883160292,1
473,40229.284656211974,1
474,40129.24260463825,1
475,40132.050012354375,1
477,40476.75241400694,1
478,40475.27884400476,1
479,41046.379093384494,1
480,40417.8102735836,1
481,39675.61880914414,1
482,40703.89579585179,1
483,40681.36682902235,1
484,40574.32938299347,1
485,40448.24606440125,1
486,40886.483114857394,1
487,40264.74756419262,1
488,40711.84159350934,1
489,40440.44928004939,1
490,40736.60068436563,1
491,40229.05302711961,1
